,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,1,A32,CTCP 32,Hàng tiêu dùng và trang trí,UPCoM,"6,800,000"
,,2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,"382,274,496"
,,3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,"117,900,000"
,,4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,"12,346,411"
,,5,AAS,CTCP Chứng khoán SmartInvest,Dịch vụ tài chính,UPCoM,"229,999,521"
,,6,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Hàng tiêu dùng và trang trí,HOSE,"70,819,103"
,,7,AAV,CTCP AAV Group,Phát triển và quản lý bất động sản,HNX,"68,987,661"
,,8,ABB,Ngân hàng TMCP An Bình,Tổ chức tín dụng,UPCoM,"1,035,036,762"
,,9,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,"20,393,000"
,,10,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm,UPCoM,"72,391,750"
,,11,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,"20,000,000"
,,12,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,"80,000,000"
,,13,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,"14,387,207"
,,14,ABW,CTCP Chứng khoán An Bình,Dịch vụ tài chính,UPCoM,"101,150,000"
,,15,ACB,Ngân hàng TMCP Á Châu,Tổ chức tín dụng,HOSE,"4,466,657,912"
,,16,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Nguyên vật liệu,HOSE,"104,999,993"
,,17,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,"3,050,781"
,,18,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,"150,787,946"
,,19,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,"50,159,019"
,,20,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,"51,000,000"
,,21,ACS,CTCP Xây lắp Thương mại 2,Tư liệu sản xuất,UPCoM,"4,000,000"
,,22,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,"2,177,173,236"
,,23,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,"3,977,936"
,,24,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,"21,380,521"
,,25,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,"23,039,850"
,,26,ADS,CTCP Damsan,Hàng tiêu dùng và trang trí,HOSE,"76,394,727"
,,27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"35,000,000"
,,28,AG1,CTCP 28.1,Hàng tiêu dùng và trang trí,UPCoM,"4,863,386"
,,29,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"28,109,743"
,,30,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển và quản lý bất động sản,HOSE,"156,397,281"
